name,phone_no,address
asdasd,1234567891,Storage & Organization
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1234567891,Appliances
"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",1234567891,Binders and Binder Accessories
R380,1234567891,Telephones and Communication
Holmes HEPA Air Purifier,1234567891,Appliances
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,1234567891,Office Furnishings
"Angle-D Binders with Locking Rings, Label Holders",1234567891,Binders and Binder Accessories
"SAFCO Mobile Desk Side File, Wire Frame",1234567891,Storage & Organization
"SAFCO Commercial Wire Shelving, Black",1234567891,Storage & Organization
Xerox 198,1234567891,Paper
Xerox 1980,1234567891,Paper
Advantus Map Pennant Flags and Round Head Tacks,1234567891,Rubber Bands
Holmes HEPA Air Purifier,1234567891,Appliances
"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",1234567891,Computer Peripherals
"Wilson Jones 1"" Hanging DublLock® Ring Binders",1234567891,Binders and Binder Accessories
Ultra Commercial Grade Dual Valve Door Closer,1234567891,Office Furnishings
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",1234567891,Envelopes
Hon 4-Shelf Metal Bookcases,1234567891,Bookcases
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",1234567891,Tables
g520,1234567891,Telephones and Communication
LX 788,1234567891,Telephones and Communication
Avery 52,1234567891,Labels
Plymouth Boxed Rubber Bands by Plymouth,1234567891,Rubber Bands
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",1234567891,Binders and Binder Accessories
"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",1234567891,Computer Peripherals
Newell 335,1234567891,Pens & Art Supplies
SANFORD Liquid Accent™ Tank-Style Highlighters,1234567891,Pens & Art Supplies
Canon PC940 Copier,1234567891,Copiers and Fax
"Tenex Personal Project File with Scoop Front Design, Black",1234567891,Storage & Organization
Col-Erase® Pencils with Erasers,1234567891,Pens & Art Supplies
"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",1234567891,Computer Peripherals
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",1234567891,Paper
Self-Adhesive Address Labels for Typewriters by Universal,1234567891,Labels
Accessory37,1234567891,Telephones and Communication
Fuji 5.2GB DVD-RAM,1234567891,Computer Peripherals
Bevis Steel Folding Chairs,1234567891,Chairs & Chairmats
Avery Binder Labels,1234567891,Binders and Binder Accessories
Hon Every-Day® Chair Series Swivel Task Chairs,1234567891,Chairs & Chairmats
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",1234567891,Paper
Global Troy™ Executive Leather Low-Back Tilter,1234567891,Chairs & Chairmats
XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,1234567891,Binders and Binder Accessories
Computer Printout Paper with Letter-Trim Perforations,1234567891,Paper
6160,1234567891,Telephones and Communication
Avery 49,1234567891,Labels
Hoover Portapower™ Portable Vacuum,1234567891,Appliances
Timeport L7089,1234567891,Telephones and Communication
Avery 510,1234567891,Labels
Xerox 1881,1234567891,Paper
LX 788,1234567891,Telephones and Communication
"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",1234567891,Binders and Binder Accessories
"Memorex 4.7GB DVD-RAM, 3/Pack",1234567891,Computer Peripherals
Unpadded Memo Slips,1234567891,Paper
